"name","est","target"
"AC004941.2",0,NA
"AC004945.1",0,NA
"AC004951.2",79.8098,NA
"AC004951.3",51.2491,NA
"AC004965.1",0,NA
"AC004967.1",48.649,NA
"AC004975.1",0,NA
"AC004980.1",59.0359,NA
"AC004980.2",0.585969,NA
"AC004980.3",5.54729,NA
"AC004980.4",0,NA
"AC004980.5",62.07561,NA
"AC004980.6",0.585969,NA
"AC004986.1",0,NA
"AC004987.1",0,NA
"AC004987.2",1.51428,NA
"AC004987.3",0,NA
"AC004987.4",0.00098064,NA
"AC004997.1",56.80208,NA
"AC005000.1",3.31063,NA
"AC005000.2",0,NA
"AC005002.1",0,NA
"AC005002.2",0,NA
"AC005005.1",0,NA
"AC005005.2",0,NA
"AC005008.1",0,NA
"AC005011.1",0,NA
"AC005014.1",1.00241,NA
"AC005019.1",0,NA
"AC005020.1",0,NA
"AC005020.2",0,NA
"AC005033.1",0,NA
"AC005034.1",0,NA
"AC005040.1",0,NA
"AC005041.1",153.939,NA
"AC005041.2",2,NA
"AC005042.1",3,NA
"AC005042.3",1,NA
"AC005066.1",0,NA
"AC005070.1",0,NA
"AC005070.2",0,NA
"AC005077.1",5.31552,NA
"AC005077.2",0,NA
"AC005077.3",0,NA
"AC005077.4",203,NA
"AC005084.1",0,NA
"AC005086.3",8.14994,NA
"AC005086.4",14.2138,NA
"AC005086.5",4.2162,NA
"AC005088.1",3,NA
"AC005094.1",0,NA
"AC005099.1",5.02589,NA
"AC005102.1",0,NA
"AC005104.2",5,NA
"AC005105.1",0,NA
"AC005154.1",21.6408,NA
"AC005154.2",38.5359,NA
"AC005154.5",103.29,NA
"AC005156.1",0,NA
"AC005165.2",0,NA
"AC005176.1",14.7322,NA
"AC005176.2",0,NA
"AC005178.1",0,NA
"AC005181.1",0,NA
"AC005183.1",0,NA
"AC005183.2",0,NA
"AC005185.1",0,NA
"AC005189.1",4,NA
"AC005191.1",0,NA
"AC005229.1",0,NA
"AC005229.2",0,NA
"AC005229.3",0,NA
"AC005230.1",2,NA
"AC005237.2",0,NA
"AC005244.1",0,NA
"AC005252.1",0,NA
"AC005255.1",0,NA
"AC005258.1",0,NA
"AC005261.4",0,NA
"AC005262.1",0,NA
"AC005294.1",0,NA
"AC005296.1",0,NA
"AC005297.1",0,NA
"AC005297.2",0,NA
"AC005297.3",0,NA
"AC005300.1",1,NA
"AC005324.3",21.1761,NA
"AC005324.4",0,NA
"AC005324.6",0,NA
"AC005326.1",0,NA
"AC005336.1",2.01222,NA
"AC005336.2",2.05949,NA
"AC005341.1",0,NA
"AC005345.1",0,NA
"AC005351.1",0,NA
"AC005357.1",0,NA
"AC005357.2",0,NA
"AC005363.1",0.535257,NA
"AC005377.1",0,NA
"AC005410.1",4.56577,NA
"AC005412.1",0,NA
"AC005476.1",0,NA
"AC005480.2",0,NA
"AC005515.1",355.63828773,NA
"AC005518.2",0,NA
"AC005520.1",32.286,NA
"AC005520.4",0,NA
"AC005521.1",0,NA
"AC005524.1",0,NA
"AC005531.1",10.0268,NA
"AC005532.2",1,NA
"AC005534.2",1.00015,NA
"AC005539.1",0,NA
"AC005551.1",4,NA
"AC005559.1",0,NA
"AC005562.2",0,NA
"AC005587.1",1,NA
"AC005588.1",0,NA
"AC005622.1",4,NA
"AC005632.2",0,NA
"AC005632.4",0,NA
"AC005670.2",48.1593,NA
"AC005682.1",17,NA
"AC005697.1",0,NA
"AC005702.1",20.0349,NA
"AC005702.2",0,NA
"AC005702.3",0,NA
"AC005702.4",0,NA
"AC005722.1",0,NA
"AC005726.1",642.3532,NA
"AC005730.1",0,NA
"AC005740.1",0,NA
"AC005740.2",0,NA
"AC005741.1",0,NA
"AC005758.1",2,NA
"AC005771.1",0,NA
"AC005776.1",0,NA
"AC005777.1",0,NA
"AC005786.1",0,NA
"AC005798.1",0,NA
"AC005822.1",1.14572,NA
"AC005828.6",0,NA
"AC005828.7",0,NA
