"Gene.name","SUM(est_counts)"
"AC005363.1",0.535257
"AC005377.1",0
"AC005410.1",4.56577
"AC005412.1",0
"AC005476.1",0
"AC005480.2",0
"AC005515.1",355.63828773
"AC005518.2",0
"AC005520.1",32.286
"AC005520.4",0
"AC005521.1",0
"AC005524.1",0
"AC005531.1",10.0268
"AC005532.2",1
"AC005534.2",1.00015
"AC005539.1",0
"AC005551.1",4
"AC005559.1",0
"AC005562.2",0
"AC005587.1",1
"AC005588.1",0
"AC005622.1",4
"AC005632.2",0
"AC005632.4",0
"AC005670.2",48.1593
"AC005682.1",17
"AC005697.1",0
"AC005702.1",20.0349
"AC005702.2",0
"AC005702.3",0
"AC005702.4",0
"AC005722.1",0
"AC005726.1",642.3532
"AC005730.1",0
"AC005740.1",0
"AC005740.2",0
"AC005741.1",0
"AC005758.1",2
"AC005771.1",0
"AC005776.1",0
"AC005777.1",0
"AC005786.1",0
"AC005798.1",0
"AC005822.1",1.14572
"AC005828.6",0
"AC005828.7",0
"AC005829.1",8.331725
"AC005829.2",0
"AC005832.2",0
"AC005832.3",0
"AC005832.4",60.4232
"AC005833.1",203.98498
"AC005837.2",1.07278
"AC005838.1",0
"AC005840.1",0
"AC005840.3",1.02179
"AC005865.1",44.2484
"AC005868.1",0
"AC005899.2",2
"AC005906.1",0
"AC005908.1",0
"AC005912.1",6.98859
"AC005921.1",0
"AC005943.1",129.71
"AC005951.1",0
"AC005972.1",0
"AC005972.2",0
"AC006001.1",3
"AC006001.3",1150.7256
"AC006001.4",98.8662
"AC006006.1",0
"AC006011.1",255.911
"AC006011.2",0
"AC006015.1",0
"AC006020.1",0
"AC006022.1",0
"AC006023.1",0
"AC006023.2",0
"AC006026.1",0
"AC006026.2",0
"AC006028.1",0
"AC006030.1",21.7406
"AC006033.1",2.02823
"AC006042.3",4
"AC006059.2",0
"AC006064.6",540.8304
"AC006065.1",0
"AC006065.2",0
"AC006077.1",0
"AC006115.1",0
"AC006116.1",0
"AC006116.2",0
"AC006116.3",0
"AC006116.7",26.3227
"AC006122.1",1.01445
"AC006130.2",0
"AC006133.1",0
"AC006144.1",5.36592
"AC006144.4",5.36592
"AC006158.1",0
"AC006158.2",0
"AC006158.3",0
"AC006160.2",0
"AC006195.1",0
"AC006197.1",0
"AC006199.1",0
"AC006210.1",0
"AC006210.2",0
"AC006236.1",0
"AC006254.1",98.25914
"AC006254.2",1
"AC006254.3",0
"AC006262.4",0
"AC006270.2",9
"AC006270.3",0
