sp1,sp2
0.709,0.742
0.689,0.648
0.678,0.684
0.584,0.536
0.591,0.581
0.799,0.808
0.853,0.841
0.862,0.792
0.373,0.04
0.863,0.87
0.879,0.898
0.855,0.861
0.692,0.701
0.709,0.733
0.832,0.818
0.669,0.692
0.787,0.783
0.644,0.653
0.82,0.825
0.602,0.656
0.694,0.704
0.74,0.856
0.815,0.793
0.815,0.793
0.815,0.727
0.841,0.859
0.845,0.843
0.844,0.861
0.885,0.8
0.639,0.656
0.605,0.521
0.847,0.831
0.571,0.551
0.581,0.497
0.836,0.841
0.782,0.762
0.637,0.674
0.538,0.528
0.865,0.865
0.715,0.719
0.573,0.557
0.624,0.408
0.895,0.899
0.71,0.335
0.556,0.533
0.791,0.789
0.864,0.868
0.707,0.62
0.715,0.744
0.683,0.606
0,0.805
0.56,0.4
0.46,0.43
0.837,0.842
0.876,0.869
0.717,0.715
0.594,0.611
0.246,0.234
0.477,0.503
0.957,0.936
0.905,0.906
0.57,0.6
0.547,0.532
0.791,0.772
0.655,0.642
0.75,0.247
0.556,0.503
0.562,0.667
0.885,0.86
0.757,0.79
0.516,0.539
0.58,0.67
0.543,0.629
0.316,0.353
0.725,0.78
0.907,0.908
0.651,0.667
0.528,0.566
0.755,0.835
0.81,0.804
0.707,0.751
0.536,0.666
0.686,0.73
0.887,0.878
0.789,0.82
0.418,0.56
0.664,0.725
0.876,0.891
0.827,0.804
0.796,0.791
0.808,0.765
0.851,0.865
0.834,0.835
0.958,0.967
0.89,0.869
0.922,0.89
0.923,0.926
0.954,0.956
0.926,0.94
0.898,0.91
0.8,0.771
0.917,0.825
0.892,0.912
0.848,0.863
0.853,0.82
0.91,0.931
0.817,0.839
0.847,0.846
0.909,0.899
0.923,0.869
0.83,0.808
0.846,0.827
0.903,0.91
0.914,0.931
0.879,0.879
0.922,0.915
0.899,0.913
0.8,0.801
0.881,0.868
0.892,0.883
0.886,0.844
0.8,0.81
0.859,0.803
0.95,0.95
0.835,0.81
0.863,0.792
0.905,0.895
0.87,0.873
0.879,0.876
0.861,0.831
0.785,0.755
0.917,0.908
0.84,0.834
0.839,0.779
0.967,0.959
0.973,0.867
0.913,0.896
0.993,0.996
0.953,0.887
0.983,0.939
0.935,0.905
0.976,0.967
0.854,0.849
0.993,0.996
0.973,0.974
0.947,0.946
0.959,0.96
0.964,0.966
0.969,0.973
0.971,0.981
0.973,0.967
0.961,0.966
0.971,0.977
0.856,0.827
0.961,0.957
0.974,0.98
0.986,0.99
0.98,0.986
0.997,1
0.997,1
0.985,0.986
0.997,1
0.997,1
0.993,0.996
0.778,0.796
0.984,0.985
0.967,0.981
0.993,1
0.857,0.861
0.424,0.377
0.729,0.662
0.483,0.436
0.808,0.754
0.32,0.287
0.424,0.368
0.85,0.844
0.217,0.359
0.757,0.765
0.65,0.701
0.529,0.503
0.843,0.842
0.755,0.779
0.863,0.826
0.884,0.883
0.921,0.871
0.869,0.848
0.932,0.929
0.95,0.956
0.963,0.97
0.915,0.911
0.915,0.911
0.956,0.958
0.72,0.78
0.771,0.771
0.664,0.54
0.711,0.677
0.778,0.739
0.822,0.635
0.874,0.768
0.74,0.661
0.782,0.705
0.806,0.642
0.734,0.711
0.724,0.663
0.745,0.498
0.804,0.684
0.853,0.786
0.757,0.74
0.763,0.739
0.822,0.696
0.7,0.61
0.853,0.783
0.767,0.76
0.677,0.708
0.794,0.676
0.749,0.728
0.681,0.624
0.765,0.747
0.791,0.693
0.88,0.746
0.685,0.645
0.786,0.803
0.814,0.746
0.82,0.827
0.712,0.507
0.62,0.588
0.714,0.56
0.678,0.606
0.819,0.807
0.68,0.616
0.682,0.461
0.657,0.56
0.596,0.629
0.803,0.738
0.798,0.714
0.708,0.565
0.746,0.707
0.821,0.685
0.8,0.636
0.783,0.819
0.638,0.585
0.761,0.817
0.72,0.725
0.874,0.65
0.836,0.61
0.686,0.605
0.646,0.585
0.739,0.681
0.745,0.726
0.974,0.977
0.898,0.839
0.86,0.859
0.896,0.844
0.887,0.884
0.918,0.881
0.951,0.94
0.756,0.627
0.961,0.946
0.917,0.909
0.874,0.814
0.909,0.869
0.893,0.896
0.742,0.735
0.955,0.954
0.887,0.844
0.979,0.979
0.846,0.913
0.747,0.685
0.981,0.989
0.956,0.991
0.966,0.974
0.964,0.954
0.936,0.94
0.965,0.965
0.982,0.979
0.936,0.936
0.92,0.914
0.938,0.938
0.66,0.539
0.924,0.913
0.928,0.928
0.932,0.908
0.934,0.921
0.928,0.928
0.932,0.907
0.897,0.896
0.899,0.896
0.595,0.629
0.671,0.567
0.667,0.638
0.688,0.634
0.739,0.674
0.695,0.66
0.598,0.693
0.708,0.646
0.721,0.64
0.72,0.893
