t1,t2
0.282171085,0.907849655
0.140389559,0.331834884
0.204123461,0.539848518
0.587855548,1.708734335
0.04420771,0.105653061
0.062460075,0.095871654
0.101309464,0.323098397
0.026697418,0.0723988
0.207608982,0.629218771
0.091260088,0.294837773
0.05374523,0.168522052
0.151869464,0.436412628
0.029009488,0.094426463
0.121170599,0.403381853
0.285812197,1.05063493
0.069069022,0.156573594
0.235493713,0.668879383
0.011863101,0.025256837
0.252712815,0.710355502
0.389364345,1.185755687
0.324229776,0.947133765
0.090495314,0.200444789
0.09851927,0.291313586
0.298768023,0.734041039
0.110273894,0.273532785
0.107748739,0.317252851
0.007050458,0.017596888
0.010357937,0.016704256
0.08522556,0.238163799
0.010005773,0.021051407
0.187124004,0.522834605
0.09057493,0.328473666
0.115826988,0.290533082
0.20412165,0.526517238
0.036958909,0.098920334
0.008855593,0.023238827
0.009949019,0.019487918
0.019232922,0.040269266
0.098220799,0.285183761
0.029058532,0.095055096
0.019687723,0.034052486
0.115757293,0.334383905
0.023751234,0.047904284
0.086915287,0.298787692
0.063724911,0.158781066
0.027157109,0.047913175
0.132331701,0.333372605
0.009900045,0.01735672
0.163218258,0.440895063
0.335034212,0.725147639
0.093565847,0.236798113
0.1386777,0.469106304
0.674148297,1.730991365
0.042845136,0.160351683
0.306105399,1.058477107
0.056143786,0.176896877
0.039394317,0.15077037
0.276182578,1.100068133
0.044898837,0.145781545
0.091931414,0.324394661
0.005655351,0.012595651
0.400790183,1.016183159
0.044537072,0.134068894
0.05706402,0.166887735
0.031281935,0.091640819
0.522916987,1.978875612
0.081940232,0.241591742
0.072974371,0.265893744
0.02801874,0.108373107
0.07193853,0.326391638
0.16800921,0.56523587
0.071314076,0.294788892
0.045516281,0.186403165
0.778582804,3.295159273
0.198567315,0.865779526
0.025534337,0.082599464
0.258382626,0.87669217
0.472290031,1.857120443
0.048649387,0.155626194
0.022292123,0.065460018
0.079148409,0.230512484
0.085928178,0.306614948
0.061008004,0.177581763
0.087289952,0.208265275
0.083678011,0.305258683
0.293534478,1.490271845
0.060230239,0.220702055
0.09708907,0.2709376
0.06543505,0.438313726
0.249525232,1.026945256
0.134753747,0.568750896
0.252439993,0.958983255
0.08076267,0.350726276
0.037978428,0.162878265
0.040685717,0.143096687
0.016938873,0.031332407
0.124112771,0.562374234
0.695315587,3.531267726
0.11934292,0.347248145
1.351319941,4.445386887
0.146019807,0.337723554
0.056284526,0.158759768
0.238918437,0.625125298
0.023323705,0.055430973
0.060302484,0.178778323
0.517733175,1.821375668
0.031904659,0.084701747
0.043273035,0.138955368
0.100446842,0.277133623
0.066241205,0.220790077
0.150647677,0.444044785
0.639081432,2.466240474
0.027582879,0.060488253
0.137444623,0.474119773
0.205691006,0.70026328
0.131058321,0.473841173
0.112550809,0.330841126
0.01647958,0.049827316
0.0485463,0.117512316
0.046982072,0.164198783
0.172917288,0.480334631
0.024121769,0.065191807
0.022236659,0.053873115
0.034749135,0.08662821
0.020982392,0.078150123
0.096144634,0.285807672
0.084354349,0.248432287
0.018655181,0.051458378
0.100022482,0.386644723
0.049867832,0.151557439
0.043018567,0.149396859
0.007036747,0.00781885
0.006542083,0.009637656
