ram1,ram2
4216,1876
4148,1716
4264,1888
4144,1880
4264,1808
4216,1872
4256,1924
4144,1796
4108,1812
4148,1868
4152,1800
4316,1884
4276,1828
4244,1912
4256,1876
4204,1884
4096,1872
4268,1812
4152,1812
4264,1788
4100,1936
4096,1840
4104,1816
4264,1872
4208,1740
4092,1800
4132,1872
4144,1784
4184,1924
4276,1888
4284,1856
4204,1812
4204,1816
4208,1908
4108,1856
4272,1856
4296,1852
4216,1796
4096,1820
4108,1728
4096,1928
4104,1772
4148,1808
4260,1864
4204,1884
4276,1764
4152,1776
4240,1804
4132,1752
4240,1712
4092,1904
4184,1848
4076,1828
4260,1844
4196,1888
4132,1796
4132,1784
4092,1788
4068,1844
4088,1836
4248,1712
4240,1880
4240,1772
4096,1772
4260,1812
4088,1844
4264,1852
4188,1840
4188,1784
4244,1788
4096,1712
4264,1796
4228,1812
4092,1820
4248,1764
4128,1840
4132,1836
4188,1772
4260,1912
4096,1796
4088,1796
4128,1904
4264,1712
4248,1828
4088,1840
4244,1852
4296,1888
4192,1776
4088,1752
4296,1812
4092,1832
4088,1796
4088,1748
4256,1848
4092,1752
4128,1880
4132,1908
4088,1788
4096,1852
4248,1860
4192,1844
4052,1776
4076,1852
4192,1900
4196,1864
4056,1792
4132,1776
4080,1812
4188,1752
4196,1796
4080,1880
4252,1780
4092,1792
4252,1792
4188,1848
4244,1896
4260,1892
4188,1780
4092,1712
4188,1792
4228,1852
4296,1788
4132,1776
4096,1908
4088,1788
4092,1816
4092,1716
4228,1888
4188,1860
4096,1796
4244,1780
4080,1820
4264,1896
4240,1808
4132,1780
4080,1800
4296,1756
4092,1796
4296,1720
4084,1792
4200,1708
4264,1824
4052,1756
4096,1716
4088,1884
4248,1716
4196,1740
4296,1864
4196,1708
4136,1756
4076,1724
4192,1764
4092,1896
4092,1872
4136,1712
4092,1844
4196,1900
4240,1764
4084,1792
4200,1776
4264,1772
4188,1812
4260,1856
4196,1752
4244,1904
4076,1780
