sp1,sp2
0.957,0.945
0.905,0.934
0.57,0.645
0.547,0.589
0.791,0.85
0.655,0.695
0.75,0.661
0.556,0.598
0.562,0.63
0.885,0.906
0.757,0.863
0.516,0.538
0.58,0.789
0.543,0.659
0.316,0.369
0.725,0.922
0.907,0.933
0.651,0.693
0.528,0.623
0.755,0.795
0.81,0.825
0.707,0.674
0.536,0.586
0.686,0.685
0.887,0.894
0.789,0.856
0.418,0.554
0.664,0.785
0.616,0.671
0.986,1
0.537,0
0.552,0
0.333,0
0.348,0
0.537,0
0.03,0
0.522,0
0.537,0
0.962,0.962
0.082,0
1,0.986
0.456,0
0.125,0.078
0.197,0.106
0.219,0
0.227,0
0.349,0
0.119,0
0.908,0.989
1,1
0.964,0.964
1,1
0.986,0.958
0.465,0.366
0.958,0.958
0.958,0.889
1,1
0.958,0.736
0.973,0.973
0.795,0.781
1,1
1,1
0.643,0.614
0.543,0.7
1,1
0.77,0.365
0.716,0.811
0.918,0.795
0.549,0.507
0.958,0.972
0.964,0.964
1,1
0.987,0.787
1,1
0.767,0.74
0.958,0.736
0.587,0.173
0.851,0.959
0.712,0.479
0.816,0.947
1,0.986
0.611,0.361
0.973,0.945
0.986,1
0.653,0.236
0.569,0.181
0.986,0.986
0.939,0.939
0.944,0.944
0.571,0.371
0.944,0.366
1,0.959
0.592,0.268
0.62,0.352
0.986,1
0.958,0.972
0.976,0.915
0.973,0.973
1,1
0.958,0.958
0.944,0.93
0.912,0.956
0.973,0.548
0.839,0.919
0.634,0.338
0.986,1
0.514,0.6
1,1
0.589,0.466
1,1
0.93,0.944
0.938,0.969
0.62,0.366
1,0.973
1,0.528
0.74,0.589
0.592,0.521
0.972,0.861
0.75,0.681
0.681,0.222
0.958,0.958
0.952,0.952
0.976,0.951
0.855,0.855
0.959,0.986
0.406,0
0.507,0
0.963,0.963
0.5,0.088
0.94,0.94
0.943,0.943
0.955,0.955
0.864,0.864
0.958,0.264
0.958,0.208
1,0.987
0.644,0.11
0.536,0.087
0.5,0
0.657,0
0.985,1
0.522,0
0.358,0.134
0.522,0
0.394,0
