ram1,ram2
4304,3548
4324,3552
4160,3548
4144,3616
4188,3552
4220,3544
4272,3548
4144,3552
4288,3604
4192,3560
4216,3628
4088,3584
4192,3584
4252,3620
4108,3556
4300,3560
4340,3548
4224,3624
4220,3616
4240,3588
4328,3600
4156,3584
4344,3560
4192,3628
4192,3672
4392,3556
4140,3580
4320,3580
4152,3608
4168,3584
4144,3560
4164,3584
4304,3644
4328,3620
4104,3588
4268,3584
4348,3548
4352,3584
4248,3624
4180,3684
4132,3584
4252,3580
4268,3548
4116,3648
4188,3620
4288,3652
4344,3620
4132,3588
4312,3552
4308,3552
4276,3620
4172,3548
4352,3612
4180,3552
4136,3560
4316,3548
4244,3652
4328,3560
4256,3620
4268,3608
4148,3544
4140,3616
4336,3684
4184,3556
4352,3564
4140,3684
4276,3548
4248,3656
4292,3548
4148,3596
4336,3564
4280,3612
4348,3624
4168,3652
4144,3648
4300,3668
4120,3544
4304,3556
4160,3552
4228,3640
4320,3584
4304,3548
4192,3588
4240,3372
4152,3364
4276,3344
4268,3400
4096,3404
4216,3360
4104,3360
4280,3392
4268,3372
4260,3360
4096,3400
4264,3360
4160,3332
4272,3408
4244,3360
4276,3360
4152,3404
4244,3396
4124,3428
4104,3360
4112,3456
4268,3364
4104,3372
4268,3364
4112,3332
4312,3408
4216,3364
4260,3364
4276,3436
4116,3364
4272,3364
4100,3364
4268,3356
4204,3388
4212,3376
4264,3364
4272,3372
4108,3348
4108,3372
4096,3384
4104,3388
4144,3368
4216,3348
4148,3344
4264,3444
4276,3364
4136,3408
4208,3352
4148,3356
4104,3420
4216,3352
4148,3356
4264,3352
4144,3352
4264,3352
4216,3424
4256,3352
4144,3356
4108,3400
4148,3376
4152,3372
4316,3348
4276,3380
4244,3372
4256,3352
4204,3376
4096,3380
4268,3372
4152,3380
4264,3352
4100,3420
4096,3344
4104,3464
4264,3412
4208,3368
4092,3372
4132,3328
4144,3376
4184,3312
4276,3364
4284,3404
4204,3416
4204,3416
4208,3404
4108,3404
4272,3340
4296,3332
4216,3328
4096,3404
4108,3348
4096,3376
4104,3352
4148,3372
4260,3416
4204,3420
4276,3432
4152,3428
4240,3372
4132,3084
4240,3080
4092,3056
4184,3056
4076,3056
4260,3060
4196,3060
4132,3056
4132,3060
4092,3060
4068,3096
4088,3048
4248,3080
4240,3068
4240,3056
4096,3076
4260,3056
4088,3060
4264,3048
4188,3060
4188,3120
4244,3128
4096,3104
4264,3084
4228,3080
4092,3080
4248,3080
4128,3080
4132,3080
4188,3080
4260,3080
4096,3096
4088,3096
4128,3096
4264,3096
4248,3096
4088,3100
4244,3096
4296,3096
4192,3096
4088,3096
4296,3084
4092,3104
4088,3088
4088,3080
4256,3080
4092,3080
4128,3080
4132,3084
4088,3084
4096,3084
4248,3084
4192,3076
4052,3084
4076,3084
4192,3076
4196,3080
4056,3076
4132,3076
4080,3096
4188,3096
4196,3092
4080,3072
4252,3080
4092,3076
4252,3076
4188,3076
4244,3100
4260,3108
4188,3084
4092,3076
4188,3088
4228,3084
4296,3088
4132,3084
4096,3076
4088,3072
4092,3080
4092,3088
4228,3084
4188,3084
4096,3100
4244,3084
4080,3076
4264,3076
4240,3076
4132,3076
4080,3076
4296,3072
4092,3080
4296,3080
4084,3080
4200,3084
4264,3104
4052,3096
4096,3120
4088,3088
4248,3060
4196,3064
4296,3092
4196,3072
4136,3096
4076,3124
4192,3124
4092,3124
4092,3076
4136,3076
4092,3080
4196,3076
4240,3064
4084,3080
4200,3056
4264,3080
4188,3072
4260,3072
4196,3076
4244,3052
4076,3060
