t1,t2
0.006480249,0.221506866
0.051009362,3.340906196
0.010284392,0.678653761
0.014565669,0.123056987
0.005750358,0.082786866
0.006589517,0.12483811
0.015763332,0.679720624
0.030131766,2.902978697
0.05633031,3.322959658
0.041696567,2.788316128
0.200090146,26.37330073
0.224428581,20.127427567
0.304301891,24.231342936
0.09879166,9.764452836
0.055096625,4.289990344
0.060117312,4.921542853
0.438356963,61.274620662
0.050157462,3.965650887
0.355450773,35.067326816
0.022220228,2.405817876
0.079484013,7.765588087
0.148761061,11.845512425
0.129394609,16.127722132
0.040495004,3.679225315
0.036659258,3.958326804
0.240286618,22.40195961
0.085162797,6.294397645
0.069273037,7.859469804
0.029447039,1.988075439
0.316539918,31.293375916
0.115307333,9.868083873
0.029548325,2.443132583
0.106377376,18.588395436
0.241594968,20.477390151
0.219738745,27.772336402
0.126998753,15.609559924
0.099729016,9.821857445
0.013403738,0.841253742
0.021344528,1.261310404
0.056092814,5.554862928
0.025584611,2.00131279
0.01805853,1.264574736
0.094720599,9.817623182
0.255790071,27.218001465
0.060848324,5.196159743
0.22688957,28.131940609
0.016731339,1.183551724
0.306214951,19.751306853
0.305338561,27.43153569
0.427749826,69.734876898
0.009750385,0.176615582
0.00707246,0.172909566
0.203478678,12.779487953
0.128748724,8.312355112
0.071764938,6.220319754
0.054709869,3.983136167
0.06065517,4.496594017
0.020000675,1.075648739
0.026217645,1.128132661
0.138212389,11.764550848
0.008824841,0.278941409
0.020448576,1.419183589
0.022955749,1.381885453
0.054259608,4.403428789
0.018520632,0.31151691
0.012056875,0.581239113
0.164101361,13.954685872
0.075155924,5.177062651
0.038642755,3.746630571
0.024515567,1.06865905
0.116744323,9.10387655
0.093665475,8.329372352
0.028646133,1.768572519
0.007754637,0.274485249
0.114499307,7.082077447
0.043457499,3.343058003
0.035553872,2.257751972
0.065196434,3.686027709
0.007706703,0.258165907
0.01660117,0.623486064
0.053263678,3.872790612
0.024667728,1.483839668
0.0147348,0.906577453
0.06571988,5.61287796
0.022210338,1.319317211
0.030515423,1.068411664
0.106933653,11.058048325
0.015588319,0.729699567
0.16365695,13.460945264
0.137846324,9.534806995
0.064086547,4.482643434
0.348843982,35.670928246
0.155264199,11.107717284
0.375880973,36.066474508
0.174045569,13.650046028
0.367659784,40.185133576
0.044170298,3.51660752
0.019291635,1.242221709
0.160223022,14.49034068
0.032273754,2.420969696
0.282171085,30.943962834
0.140389559,8.409947741
0.204123461,14.353139342
0.587855548,52.472250666
0.04420771,2.603540323
0.062460075,2.584535826
0.101309464,11.197328403
0.026697418,1.498937342
0.207608982,19.204870802
0.091260088,8.266111594
0.05374523,5.001174105
0.151869464,12.633578472
0.029009488,1.964090355
0.121170599,11.383891982
0.285812197,31.585804575
0.069069022,4.002559861
0.235493713,20.384708239
0.011863101,0.509234874
0.252712815,17.080660344
0.389364345,41.794651401
0.324229776,36.651869107
0.090495314,4.00622787
0.09851927,7.150720044
0.298768023,22.290709367
0.110273894,6.63432139
0.107748739,6.670404726
0.007050458,0.29100032
0.010357937,0.345401446
0.08522556,5.497605241
0.010005773,0.349676246
0.187124004,14.736524225
0.09057493,6.203132816
0.115826988,7.838059854
0.20412165,15.418841052
0.036958909,1.972598856
0.008855593,0.301434859
0.009949019,0.297252772
