ram1,ram2
4180,3632
4136,3632
4316,3612
4244,3580
4328,3632
4256,3628
4268,3580
4148,3544
4140,3596
4336,3600
4184,3580
4352,3608
4140,3608
4276,3580
4248,3644
4292,3588
4148,3576
4336,3616
4280,3532
4348,3628
4168,3588
4144,3592
4300,3628
4120,3576
4304,3600
4160,3636
4228,3604
4320,3612
4304,3592
4192,3540
4240,3200
4152,3216
4276,3228
4268,3260
4096,3292
4216,3212
4104,3252
4280,3084
4268,3172
4260,3196
4096,3288
4264,3216
4160,3164
4272,3236
4244,3236
4276,3204
4152,3272
4244,3184
4124,3248
4104,3184
4112,3296
4268,3204
4104,3208
4268,3268
4112,3184
4312,3192
4216,3184
4260,3184
4276,3192
4116,3184
4272,3196
4100,3192
4268,3184
4204,3180
4212,3212
4264,3196
4272,3188
4108,3204
4108,3200
4096,3192
4104,3196
4144,3208
4216,3192
4148,3184
4264,3256
4276,3192
4136,3192
4208,3196
4148,3192
4104,3192
4216,3204
4148,3212
4264,3200
4144,3196
4264,3200
4216,3252
4256,3208
4144,3204
4108,3192
4148,3204
4152,3200
4316,3204
4276,3200
4244,3208
4256,3200
4204,3208
4096,3208
4268,3196
4152,3192
4264,3188
4100,3196
4096,3188
4104,3204
4264,3192
4208,3128
4092,3136
4132,3124
4144,3244
4184,3128
4276,3124
4284,3188
4204,3200
4204,3192
4208,3184
4108,3196
4272,3184
4296,3136
4216,3136
4096,3228
4108,3136
4096,3140
4104,3140
4148,3136
4260,3212
4204,3052
4276,3100
4152,3200
4240,3168
4132,3164
4240,3132
4092,3148
4184,3148
4076,3124
4260,3136
4196,3152
4132,3136
4132,3188
4092,3168
4068,3100
4088,3168
4248,3132
4240,3160
4240,3120
4096,3160
4260,3132
4088,3140
4264,3108
4188,3132
4188,3168
4244,3168
4096,3120
4264,3112
4228,3132
4092,3156
4248,3116
4128,3128
4132,3112
4188,3132
4260,3128
4096,3164
4088,3172
4128,3160
4264,3132
4248,3152
4088,3124
4244,3168
4296,3172
4192,3184
4088,3156
4296,3160
4092,3120
4088,3176
4088,3160
4256,3128
4092,3140
4128,3100
4132,3180
4088,3132
4096,3156
4248,3136
4192,3120
4052,3144
4076,3160
4192,3112
4196,3116
4056,3120
4132,3108
4080,3120
4188,3168
4196,3140
4080,3136
4252,3128
4092,3176
4252,3128
4188,3100
4244,3160
4260,3160
4188,3164
4092,3112
4188,3156
4228,3176
4296,3172
4132,3164
4096,3148
4088,3120
4092,3100
4092,3172
4228,3024
4188,3144
4096,3124
4244,3180
4080,3148
4264,3176
4240,3120
4132,3152
4080,3120
4296,3100
4092,3124
4296,3108
4084,3148
4200,3172
4264,3140
4052,3120
4096,3172
4088,3176
4248,3120
4196,3160
4296,3116
4196,3176
4136,3136
4076,3176
4192,3184
4092,3192
4092,3176
4136,3140
4092,3128
4196,3148
4240,3180
4084,3160
4200,3116
4264,3144
4188,3112
4260,3116
4196,3116
4244,3176
4076,3128
